stateAbbr,geography,estimateTotal,foodstampsNum,percentRenting
AL,Alabama,17489,1263,19.4
AK,Alaska,11330,1959,28.3
AZ,Arizona,69603,5126,28.9
AR,Arkansas,11991,666,25.7
CO,Colorado,49014,3710,28.4
CT,Connecticut,50110,3187,24.6
DE,Delaware,11805,486,21.1
FL,Florida,163027,14621,26.7
GA,Georgia,111612,7457,28.5
HI,Hawaii,174552,13534,27
ID,Idaho,7029,803,24.1
IL,Illinois,211389,19709,25.4
IN,Indiana,40852,3040,22.4
IA,Iowa,21653,2755,20.9
KS,Kansas,24807,1969,24
KY,Kentucky,17229,1564,24.4
LA,Louisiana,22492,1486,21
ME,Maine,4080,301,21.2
MD,Maryland,114501,8257,25
MA,Massachusetts,129604,15808,29.2
MI,Michigan,86208,6736,19.7
MN,Minnesota,71089,11095,20.1
MS,Mississippi,8589,636,18.5
MO,Missouri,34584,2011,21.3
MT,Montana,2564,0,24.9
NE,Nebraska,11619,1590,25.1
NV,Nevada,70620,6353,35.8
NH,New Hampshire,10430,978,20.4
NJ,New Jersey,252544,11688,27.4
NM,New Mexico,11240,453,22.6
NC,North Carolina,76929,6403,23.8
ND,North Dakota,3117,408,26.9
OH,Ohio,76576,6126,25.1
OK,Oklahoma,22782,2680,23.3
OR,Oregon,52198,7125,31.3
PA,Pennsylvania,122335,12390,21.7
RI,Rhode Island,10568,1001,30.2
SC,South Carolina,21751,1111,22.6
SD,South Dakota,2989,395,23.9
TN,Tennessee,31695,2205,21.7
TX,Texas,373317,24838,27.9
UT,Utah,18902,1579,23.3
VT,Vermont,2232,444,21.3
VA,Virginia,151935,7936,26.1
WA,Washington,181459,22310,29.6
WV,West Virginia,4213,424,14.9
WI,Wisconsin,43367,8216,26.1
PR,Puerto Rico,3088,1353,17.4
 ,,,,
 ,,,,
 ,,,,
 ,,,,
